model,rig,regime,mic_group,n_frames,pit_mae
hppnet_l2_r2refined_s0,DREGON,zero-frames,all,6640,0.184652
hppnet_l2_r2refined_s0,DREGON,zero-frames,ch0,830,0.127030
hppnet_l2_r2refined_s0,DREGON,zero-frames,ch1-7,5810,0.192884
hppnet_l2_r2refined_s0,FLY124,all,all,30120,2.799446
hppnet_l2_r2refined_s0,FLY124,all,ch0,3765,3.183763
hppnet_l2_r2refined_s0,FLY124,all,ch1-7,26355,2.744543
hppnet_l2_r2refined_s0,FLY124,below-30,all,1496,20.701068
hppnet_l2_r2refined_s0,FLY124,below-30,ch0,187,22.508178
hppnet_l2_r2refined_s0,FLY124,below-30,ch1-7,1309,20.442909
hppnet_l2_r2refined_s0,FLY124,cruise:all,all,20080,0.776296
hppnet_l2_r2refined_s0,FLY124,cruise:all,ch0,2510,0.767365
hppnet_l2_r2refined_s0,FLY124,cruise:all,ch1-7,17570,0.777572
hppnet_l2_r2refined_s0,FLY124,cruise:in-grid,all,20080,0.776296
hppnet_l2_r2refined_s0,FLY124,cruise:in-grid,ch0,2510,0.767365
hppnet_l2_r2refined_s0,FLY124,cruise:in-grid,ch1-7,17570,0.777572
hppnet_l2_r2refined_s0,FLY124,ground:all,all,2008,0.370432
hppnet_l2_r2refined_s0,FLY124,ground:all,ch0,251,0.268246
hppnet_l2_r2refined_s0,FLY124,ground:all,ch1-7,1757,0.385030
hppnet_l2_r2refined_s0,FLY124,ground:zero-frames,all,2008,0.370432
hppnet_l2_r2refined_s0,FLY124,ground:zero-frames,ch0,251,0.268246
hppnet_l2_r2refined_s0,FLY124,ground:zero-frames,ch1-7,1757,0.385030
hppnet_l2_r2refined_s0,FLY124,in-grid,all,25968,2.014989
hppnet_l2_r2refined_s0,FLY124,in-grid,ch0,3246,2.369488
hppnet_l2_r2refined_s0,FLY124,in-grid,ch1-7,22722,1.964346
hppnet_l2_r2refined_s0,FLY124,ramp:all,all,8032,8.464573
hppnet_l2_r2refined_s0,FLY124,ramp:all,ch0,1004,9.953639
hppnet_l2_r2refined_s0,FLY124,ramp:all,ch1-7,7028,8.251850
hppnet_l2_r2refined_s0,FLY124,ramp:below-30,all,1496,20.701068
hppnet_l2_r2refined_s0,FLY124,ramp:below-30,ch0,187,22.508178
hppnet_l2_r2refined_s0,FLY124,ramp:below-30,ch1-7,1309,20.442909
hppnet_l2_r2refined_s0,FLY124,ramp:in-grid,all,5888,6.239334
hppnet_l2_r2refined_s0,FLY124,ramp:in-grid,ch0,736,7.833253
hppnet_l2_r2refined_s0,FLY124,ramp:in-grid,ch1-7,5152,6.011631
hppnet_l2_r2refined_s0,FLY124,ramp:zero-frames,all,648,0.434346
hppnet_l2_r2refined_s0,FLY124,ramp:zero-frames,ch0,81,0.236422
hppnet_l2_r2refined_s0,FLY124,ramp:zero-frames,ch1-7,567,0.462620
hppnet_l2_r2refined_s0,FLY124,zero-frames,all,2656,0.386026
hppnet_l2_r2refined_s0,FLY124,zero-frames,ch0,332,0.260482
hppnet_l2_r2refined_s0,FLY124,zero-frames,ch1-7,2324,0.403960
hppnet_l2_r2refined_s0,all,all,all,74296,2.862851
hppnet_l2_r2refined_s0,all,all,ch0,9287,2.972068
hppnet_l2_r2refined_s0,all,all,ch1-7,65009,2.847248
hppnet_l2_r2refined_s0,all,below-30,all,2728,16.368925
hppnet_l2_r2refined_s0,all,below-30,ch0,341,17.431696
hppnet_l2_r2refined_s0,all,below-30,ch1-7,2387,16.217101
hppnet_l2_r2refined_s0,all,cruise:all,all,52208,1.879150
hppnet_l2_r2refined_s0,all,cruise:all,ch0,6526,1.810115
hppnet_l2_r2refined_s0,all,cruise:all,ch1-7,45682,1.889012
hppnet_l2_r2refined_s0,all,cruise:in-grid,all,52208,1.879150
hppnet_l2_r2refined_s0,all,cruise:in-grid,ch0,6526,1.810115
